Genome Name,Accession,PATRIC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.404,,,,"5-aminovalerate aminotransferase (EC 2.6.1.48) / Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)",PATRIC,"Lysine degradation","5-aminovalerate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.406,,,,"Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57) @ Histidinol-phosphate aminotransferase (EC 2.6.1.9)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Aromatic-amino-acid transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.409,,,,"Diaminopimelate decarboxylase (EC 4.1.1.20)",PATRIC,"Lysine biosynthesis","Diaminopimelate decarboxylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.486,,,,"Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)",PATRIC,"Taurine and hypotaurine metabolism","Taurine dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.508,,,,"Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)",PATRIC,"Limonene and pinene degradation","Enoyl-CoA hydratase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.521,,,,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",PATRIC,"Streptomycin biosynthesis","dTDP-4-dehydrorhamnose 3,5-epimerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.525,,,,"N-carbamoylputrescine amidase (EC 3.5.1.53)",PATRIC,"Arginine and proline metabolism","N-carbamoylputrescine amidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.556,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Fatty acid metabolism","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.557,,,,"Alcohol dehydrogenase (EC 1.1.1.1)",PATRIC,"Tyrosine metabolism","Alcohol dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.587,,,,"Isochorismate pyruvate-lyase (EC 4.-.-.-)",PATRIC,"Vitamin B6 metabolism","Lyases"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.600,,,,"Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)",PATRIC,"Histidine metabolism","1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.623,,,,"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)",PATRIC,"Fructose and mannose metabolism","Fructose-bisphosphatase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.628,,,,"Formiminoglutamic iminohydrolase (EC 3.5.3.13)",PATRIC,"Histidine metabolism","Formimidoylglutamate deiminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.635,,,,"Imidazolonepropionase (EC 3.5.2.7)",PATRIC,"Histidine metabolism","Imidazolonepropionase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.636,,,,"N-formylglutamate deformylase (EC 3.5.1.68)",PATRIC,"Glyoxylate and dicarboxylate metabolism","N-formylglutamate deformylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.654,,,,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase (EC 2.1.1.201)",PATRIC,"Ubiquinone and other terpenoid-quinone biosynthesis","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.667,,,,"Arginyl-tRNA synthetase (EC 6.1.1.19)",PATRIC,"Aminoacyl-tRNA biosynthesis","Arginine--tRNA ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.672,,,,"NADP-dependent malic enzyme (EC 1.1.1.40)",PATRIC,"Carbon fixation in photosynthetic organisms","Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.673,,,,"Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)",PATRIC,"Lysine degradation","Acting on peptide bonds (peptide hydrolases)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.679,,,,"Shikimate kinase I (EC 2.7.1.71)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Shikimate kinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.682,,,,"Glutamate synthase [NADPH] large chain (EC 1.4.1.13)",PATRIC,"Alanine, aspartate and glutamate metabolism","Glutamate synthase (NADPH)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.683,,,,"Glutamate synthase [NADPH] small chain (EC 1.4.1.13)",PATRIC,"Nitrogen metabolism","Glutamate synthase (NADPH)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.691,,,,"3-oxoacyl-[ACP] reductase (EC 1.1.1.100) FadG2, NOT involved in fatty acid synthesis",PATRIC,"Fatty acid biosynthesis","3-oxoacyl-[acyl-carrier-protein] reductase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.693,,,,"3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like",PATRIC,"Fatty acid biosynthesis","Beta-ketoacyl-[acyl-carrier-protein] synthase I"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.704,,,,"FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase / (3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)",PATRIC,"Fatty acid biosynthesis","Hydro-lyases"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.725,,,,"O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)",PATRIC,"Sulfur metabolism","Cystathionine gamma-synthase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.730,,,,"Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)",PATRIC,"Glycolysis / Gluconeogenesis","Dihydrolipoyllysine-residue acetyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.731,,,,"Pyruvate dehydrogenase E1 component (EC 1.2.4.1)",PATRIC,"Butanoate metabolism","Pyruvate dehydrogenase (acetyl-transferring)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.750,,,,"Adenylylsulfate kinase (EC 2.7.1.25)",PATRIC,"Purine metabolism","Adenylyl-sulfate kinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.751,,,,"D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)",PATRIC,"Lipopolysaccharide biosynthesis","D-glycero-beta-D-manno-heptose-7-phosphate kinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.757,,,,"3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)",PATRIC,"Lipopolysaccharide biosynthesis","Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.772,,,,"Phosphoserine phosphatase (EC 3.1.3.3)",PATRIC,"Methane metabolism","Phosphoserine phosphatase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.792,,,,"Adenylosuccinate synthetase (EC 6.3.4.4)",PATRIC,"Purine metabolism","Adenylosuccinate synthase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.810,,,,"NAD synthetase (EC 6.3.1.5)",PATRIC,"Nicotinate and nicotinamide metabolism","NAD(+) synthase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.824,,,,"Mannose-6-phosphate isomerase (EC 5.3.1.8)",PATRIC,"Fructose and mannose metabolism","Mannose-6-phosphate isomerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.845,,,,"Urease alpha subunit (EC 3.5.1.5)",PATRIC,"Arginine and proline metabolism","Urease"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.846,,,,"Urease beta subunit (EC 3.5.1.5)",PATRIC,"Purine metabolism","Urease"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.849,,,,"Urease gamma subunit (EC 3.5.1.5)",PATRIC,"Purine metabolism","Urease"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.869,,,,"Proposed precorrin-5* (C1)-methyltransferase @ Cobalt-precorrin-5B (C1)-methyltransferase (EC 2.1.1.195)",PATRIC,"Porphyrin and chlorophyll metabolism","Cobalt-precorrin-5B (C(1))-methyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.870,,,,"Precorrin-6Y C(5,15)-methyltransferase [decarboxylating] (EC 2.1.1.132)",PATRIC,"Porphyrin and chlorophyll metabolism","Precorrin-6B C(5,15)-methyltransferase (decarboxylating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.880,,,,"Phosphoribosylamine--glycine ligase (EC 6.3.4.13)",PATRIC,"Purine metabolism","Phosphoribosylamine--glycine ligase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.881,,,,"IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)",PATRIC,"Purine metabolism","Phosphoribosylaminoimidazolecarboxamide formyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.887,,,,"Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)",PATRIC,"Fatty acid biosynthesis","Biotin carboxylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.899,,,,"tRNA uridine 5-oxyacetic acid(34) methyltransferase (EC 2.1.1.-)",PATRIC,"Ubiquinone and other terpenoid-quinone biosynthesis","Methyltransferases"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.956,,,,"Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)",PATRIC,"Valine, leucine and isoleucine degradation","Methylmalonate-semialdehyde dehydrogenase (CoA acylating)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.957,,,,"3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)",PATRIC,"Valine, leucine and isoleucine degradation","3-hydroxyisobutyrate dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.962,,,,"Kynurenine formamidase, bacterial (EC 3.5.1.9)",PATRIC,"Glyoxylate and dicarboxylate metabolism","Arylformamidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.964,,,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Isoquinoline alkaloid biosynthesis","Aspartate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.973,,,,"Kynureninase (EC 3.7.1.3)",PATRIC,"Tryptophan metabolism","Kynureninase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1055,,,,"Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)",PATRIC,"Alanine, aspartate and glutamate metabolism","Carbamoyl-phosphate synthase (glutamine-hydrolyzing)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1056,,,,"Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)",PATRIC,"Pyrimidine metabolism","Carbamoyl-phosphate synthase (glutamine-hydrolyzing)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1064,,,,"Triosephosphate isomerase (EC 5.3.1.1)",PATRIC,"Glycolysis / Gluconeogenesis","Triose-phosphate isomerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1071,,,,"Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)",PATRIC,"Pyrimidine metabolism","Polyribonucleotide nucleotidyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1119,,,,"Phosphatidylcholine-hydrolyzing phospholipase C (EC 3.1.4.3)",PATRIC,"Ether lipid metabolism","Phospholipase C"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1125,,,,"Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)",PATRIC,"Aminoacyl-tRNA biosynthesis","Glutaminyl-tRNA synthase (glutamine-hydrolyzing)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1166,,,,"Histidinol-phosphate aminotransferase (EC 2.6.1.9)",PATRIC,"Tyrosine metabolism","Histidinol-phosphate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1171,,,,"Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)",PATRIC,"Selenoamino acid metabolism","Sulfate adenylyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1173,,,,"Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) / Adenylylsulfate kinase (EC 2.7.1.25)",PATRIC,"Selenoamino acid metabolism","Sulfate adenylyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1175,,,,"BioD-like N-terminal domain / Phosphate acetyltransferase (EC 2.3.1.8)",PATRIC,"Methane metabolism","Phosphate acetyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1183,,,,"Thioredoxin reductase (EC 1.8.1.9)",PATRIC,"Pyrimidine metabolism","Thioredoxin-disulfide reductase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1202,,,,"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)",PATRIC,"Tyrosine metabolism","Homogentisate 1,2-dioxygenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1203,,,,"Fumarylacetoacetase (EC 3.7.1.2)",PATRIC,"Tyrosine metabolism","Fumarylacetoacetase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1204,,,,"Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)",PATRIC,"Styrene degradation","Maleylacetoacetate isomerase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1215,,,,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)",PATRIC,"Glycine, serine and threonine metabolism","L-serine ammonia-lyase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1230,,,,"5'-nucleotidase (EC 3.1.3.5)",PATRIC,"Pyrimidine metabolism","5'-nucleotidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1252,,,,"Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)",PATRIC,"Fatty acid biosynthesis","Transferring groups other than amino-acyl groups"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1255,,,,"Poly (beta-D-mannuronate) C5 epimerase AlgG (EC 5.1.3.-)",PATRIC,"Amino sugar and nucleotide sugar metabolism","Acting on carbohydrates and derivatives"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1260,,,,"GDP-mannose 6-dehydrogenase (EC 1.1.1.132)",PATRIC,"Fructose and mannose metabolism","GDP-mannose 6-dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1302,,,,"Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)",PATRIC,"Amino sugar and nucleotide sugar metabolism","Glucosamine-6-phosphate deaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1303,,,,"N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)",PATRIC,"Galactose metabolism","N-acetylglucosamine-6-phosphate deacetylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1324,,,,"Homoserine dehydrogenase (EC 1.1.1.3)",PATRIC,"Glycine, serine and threonine metabolism","Homoserine dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.1325,,,,"Threonine synthase (EC 4.2.3.1)",PATRIC,"Vitamin B6 metabolism","Threonine synthase"
