Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.924",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1011457.1012353.fwd","PATRIC","CDS",1011457,1012353,897,"+",,"PLF_286_00009468","PGF_00051464",,298,,"Serine/threonine protein kinase involved in cell cycle control",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.925",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1012524.1012928.rev","PATRIC","CDS",1012524,1012928,405,"-",,"PLF_286_00001088","PGF_07726252",,134,,"Heavy metal resistance transcriptional regulator HmrR",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.926",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1012925.1015321.rev","PATRIC","CDS",1012925,1015321,2397,"-",,"PLF_286_00000576","PGF_07109475",,798,,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0008551|cadmium-exporting ATPase activity;GO:0016463|zinc-exporting ATPase activity;GO:0004008|copper-exporting ATPase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.95",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.101506.102405.fwd","PATRIC","CDS",101506,102405,900,"+",,"PLF_286_00011723","PGF_01776684",,299,,"Aldose 1-epimerase family protein YeaD",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.927",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1015461.1015844.rev","PATRIC","CDS",1015461,1015844,384,"-",,"PLF_286_00355818","PGF_08225224",,127,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.928",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1015869.1015991.rev","PATRIC","CDS",1015869,1015991,123,"-",,,,,40,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.929",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1015991.1016188.fwd","PATRIC","CDS",1015991,1016188,198,"+",,"PLF_286_00356712","PGF_02705782",,65,,"Copper(I) chaperone CopZ",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.930",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1016282.1017478.fwd","PATRIC","CDS",1016282,1017478,1197,"+",,"PLF_286_00010897","PGF_06767689",,398,,"Multidrug resistance transporter, Bcr/CflA family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.931",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1017480.1017656.rev","PATRIC","CDS",1017480,1017656,177,"-",,"PLF_286_00016752","PGF_02910409",,58,,"FIG00956405: hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.932",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1017801.1018814.rev","PATRIC","CDS",1017801,1018814,1014,"-",,"PLF_286_00005689","PGF_02007855",,337,,"Zinc-type alcohol dehydrogenase-like protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.933",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1018846.1019139.rev","PATRIC","CDS",1018846,1019139,294,"-",,"PLF_286_00019256","PGF_08225224",,97,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.934",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1019257.1020168.fwd","PATRIC","CDS",1019257,1020168,912,"+",,"PLF_286_00006358","PGF_10110908",,303,,"Transcriptional regulator PA3565, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.935",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1020342.1021712.fwd","PATRIC","CDS",1020342,1021712,1371,"+",,"PLF_286_00002013","PGF_00025489",,456,,"Niacin transporter NiaP",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.936",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1021798.1022751.rev","PATRIC","CDS",1021798,1022751,954,"-",,"PLF_286_00000855","PGF_00035194",,317,,"Adenosine deaminase (EC 3.5.4.4)","GO:0004000|adenosine deaminase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.937",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1023019.1024107.fwd","PATRIC","CDS",1023019,1024107,1089,"+",,"PLF_286_00006691","PGF_03161859",,362,,"Calcium/proton antiporter",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.938",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1024104.1025111.rev","PATRIC","CDS",1024104,1025111,1008,"-",,"PLF_286_00035931","PGF_05984891",,335,,"protein of unknown function DUF323",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.96",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.102460.102996.rev","PATRIC","CDS",102460,102996,537,"-",,"PLF_286_00219914","PGF_09542755",,178,,"putative lipoprotein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.939",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1025223.1026581.rev","PATRIC","CDS",1025223,1026581,1359,"-",,"PLF_286_00006451","PGF_00010332",,452,,"Guanine deaminase (EC 3.5.4.3)","GO:0008892|guanine deaminase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.940",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1026779.1027462.rev","PATRIC","CDS",1026779,1027462,684,"-",,"PLF_286_00008599","PGF_10563189",,227,,"Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.941",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1027488.1027838.rev","PATRIC","CDS",1027488,1027838,351,"-",,"PLF_286_00011644","PGF_08225224",,116,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.942",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1027923.1028360.fwd","PATRIC","CDS",1027923,1028360,438,"+",,"PLF_286_00232933","PGF_08225224",,145,,"FIG00954047: hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.943",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1028540.1028662.fwd","PATRIC","CDS",1028540,1028662,123,"+",,,,,40,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.944",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1028717.1029298.rev","PATRIC","CDS",1028717,1029298,582,"-",,"PLF_286_00005957","PGF_00425679",,193,,"FIG000605: protein co-occurring with transport systems (COG1739)",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.945",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1029303.1029971.rev","PATRIC","CDS",1029303,1029971,669,"-",,"PLF_286_00001032","PGF_07182652",,222,,"Transcriptional regulator, AcrR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.946",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1030232.1031152.rev","PATRIC","CDS",1030232,1031152,921,"-",,"PLF_286_00006073","PGF_00017810",,306,,"LysR family transcriptional regulator PA0133",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.947",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1031276.1032625.fwd","PATRIC","CDS",1031276,1032625,1350,"+",,"PLF_286_00001072","PGF_02347716",,449,,"Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)","GO:0016223|beta-alanine-pyruvate transaminase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.97",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.103134.103379.rev","PATRIC","CDS",103134,103379,246,"-",,"PLF_286_00006242","PGF_02602367",,81,,"Predicted membrane protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.948",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1032700.1034193.fwd","PATRIC","CDS",1032700,1034193,1494,"+",,"PLF_286_00000172","PGF_07750068",,497,,"Malonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.18)","GO:0018478|malonate-semialdehyde dehydrogenase (acetylating) activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.98",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.103486.104568.rev","PATRIC","CDS",103486,104568,1083,"-",,"PLF_286_00000359","PGF_00024274",,360,,"N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)","GO:0034028|5-(carboxyamino)imidazole ribonucleotide synthase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.949",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1040168.1043620.fwd","PATRIC","CDS",1040168,1043620,3453,"+",,"PLF_286_00365213","PGF_00425021",,1150,,"Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)","GO:0008854|exodeoxyribonuclease V activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.950",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1043617.1047306.fwd","PATRIC","CDS",1043617,1047306,3690,"+",,"PLF_286_00005995","PGF_01058419",,1229,,"Exodeoxyribonuclease V beta chain (EC 3.1.11.5)","GO:0008854|exodeoxyribonuclease V activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.99",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.104580.105071.rev","PATRIC","CDS",104580,105071,492,"-",,"PLF_286_00000386","PGF_05172785",,163,,"N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)","GO:0034023|5-(carboxyamino)imidazole ribonucleotide mutase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.951",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1047303.1049384.fwd","PATRIC","CDS",1047303,1049384,2082,"+",,"PLF_286_00443569","PGF_00767262",,693,,"Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)","GO:0008854|exodeoxyribonuclease V activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.952",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1049490.1050071.fwd","PATRIC","CDS",1049490,1050071,582,"+",,"PLF_286_00007491","PGF_00065566",,193,,"Uncharacterized protein YfiR",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.953",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1050068.1051336.fwd","PATRIC","CDS",1050068,1051336,1269,"+",,"PLF_286_00009199","PGF_05010370",,422,,"Inner membrane protein YfiN",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.954",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1051342.1051845.fwd","PATRIC","CDS",1051342,1051845,504,"+",,"PLF_286_00009341","PGF_00014732",,167,,"Integral membrane protein YfiB",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.955",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1051930.1052880.rev","PATRIC","CDS",1051930,1052880,951,"-",,"PLF_286_00007085","PGF_07987589",,316,,"Transcriptional regulator, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.956",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1053028.1054554.fwd","PATRIC","CDS",1053028,1054554,1527,"+",,"PLF_286_00005901","PGF_06989821",,508,,"Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)","GO:0004491|methylmalonate-semialdehyde dehydrogenase (acylating) activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.100",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.105442.106359.rev","PATRIC","CDS",105442,106359,918,"-",,"PLF_286_00000652","PGF_00017904",,305,,"LysR-family transcriptional regulator PA5428",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.957",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1054565.1055452.fwd","PATRIC","CDS",1054565,1055452,888,"+",,"PLF_286_00005888","PGF_03059539",,295,,"3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)","GO:0008442|3-hydroxyisobutyrate dehydrogenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.958",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1055570.1056088.rev","PATRIC","CDS",1055570,1056088,519,"-",,"PLF_286_00368934","PGF_08225224",,172,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.959",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1056085.1056570.rev","PATRIC","CDS",1056085,1056570,486,"-",,"PLF_286_00036034","PGF_00758771",,161,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.960",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1056672.1057016.rev","PATRIC","CDS",1056672,1057016,345,"-",,"PLF_286_00001415","PGF_08225224",,114,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.961",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1057055.1057177.rev","PATRIC","CDS",1057055,1057177,123,"-",,,,,40,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.962",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1057300.1057941.fwd","PATRIC","CDS",1057300,1057941,642,"+",,"PLF_286_00002021","PGF_02981550",,213,,"Kynurenine formamidase, bacterial (EC 3.5.1.9)","GO:0004061|arylformamidase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.963",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1058033.1058884.fwd","PATRIC","CDS",1058033,1058884,852,"+",,"PLF_286_00001906","PGF_00062002",,283,,"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)","GO:0004833|tryptophan 2,3-dioxygenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.964",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1059056.1060555.fwd","PATRIC","CDS",1059056,1060555,1500,"+",,"PLF_286_00015389","PGF_09985786",,499,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)","GO:0004069|L-aspartate:2-oxoglutarate aminotransferase activity;GO:0004069|L-phenylalanine:2-oxoglutarate aminotransferase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.965",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1060564.1061772.rev","PATRIC","CDS",1060564,1061772,1209,"-",,"PLF_286_00010921","PGF_06781655",,402,,"Benzoate transport protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.966",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1061961.1063361.rev","PATRIC","CDS",1061961,1063361,1401,"-",,"PLF_286_00000012","PGF_00064863",,466,,"Aromatic amino acid transport protein AroP",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.967",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1063440.1064462.rev","PATRIC","CDS",1063440,1064462,1023,"-",,"PLF_286_00011460","PGF_00068983",,340,,"benzoate dioxygenase, ferredoxin reductase component; Anthranilate dioxygenase reductase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.968",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1064480.1064971.rev","PATRIC","CDS",1064480,1064971,492,"-",,"PLF_286_00008453","PGF_00400471",,163,,"Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)","GO:0018623|benzoate 1,2-dioxygenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.969",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1064974.1066359.rev","PATRIC","CDS",1064974,1066359,1386,"-",,"PLF_286_00001592","PGF_09031367",,461,,"Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)","GO:0018623|benzoate 1,2-dioxygenase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.101",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.106541.107965.fwd","PATRIC","CDS",106541,107965,1425,"+",,"PLF_286_00000688","PGF_00066854",,474,,"Aspartate ammonia-lyase (EC 4.3.1.1)","GO:0008797|aspartate ammonia-lyase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.970",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1066764.1067765.fwd","PATRIC","CDS",1066764,1067765,1002,"+",,"PLF_286_00001848","PGF_10462086",,333,,"benABC operon transcriptional activator BenR",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.971",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1067780.1068253.rev","PATRIC","CDS",1067780,1068253,474,"-",,"PLF_286_00001990","PGF_01424767",,157,,"Transcriptional regulator, AsnC family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.972",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1068269.1068442.fwd","PATRIC","CDS",1068269,1068442,174,"+",,"PLF_286_00398881","PGF_11948240",,57,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.973",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1068439.1069689.fwd","PATRIC","CDS",1068439,1069689,1251,"+",,"PLF_286_00001966","PGF_00015931",,416,,"Kynureninase (EC 3.7.1.3)","GO:0030429|kynureninase activity"
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.974",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1069810.1071213.fwd","PATRIC","CDS",1069810,1071213,1404,"+",,"PLF_286_00013526","PGF_00033074",,467,,"Phenylalanine-specific permease",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.975",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1071235.1071606.rev","PATRIC","CDS",1071235,1071606,372,"-",,"PLF_286_00010632","PGF_00057506",,123,,"Transcriptional regulator, MerR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.976",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1071667.1072242.rev","PATRIC","CDS",1071667,1072242,576,"-",,"PLF_286_00075679","PGF_05671503",,191,,"NAD(P)H dehydrogenase (quinone) family protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.977",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1072299.1073204.rev","PATRIC","CDS",1072299,1073204,906,"-",,"PLF_286_00010396","PGF_07987589",,301,,"Transcriptional regulator, LysR family",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.978",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1073289.1074053.fwd","PATRIC","CDS",1073289,1074053,765,"+",,"PLF_286_00006433","PGF_03653469",,254,,"putative membrane protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.979",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1074043.1074354.rev","PATRIC","CDS",1074043,1074354,312,"-",,"PLF_286_00011950","PGF_08225224",,103,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.980",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1074561.1075160.fwd","PATRIC","CDS",1074561,1075160,600,"+",,"PLF_286_00102108","PGF_01482614",,199,,"Modulator of drug activity B",
